ElapsedTime,Text,Tindoor,Tdepart,Tretour,Debit_eau,Conso_energetique_integrale
896400,8.148,21.570,312.038,308.977,0.200,183.633
900000,8.537,21.583,311.882,308.887,0.200,184.023
903600,9.510,21.622,311.308,308.489,0.200,184.636
907200,10.100,21.657,310.551,307.889,0.200,185.174
910800,10.230,21.677,310.247,307.580,0.200,185.683
914400,10.093,21.715,310.175,307.524,0.200,186.189
918000,9.319,21.707,310.199,307.455,0.200,186.706
921600,8.224,21.697,311.030,308.102,0.200,187.651
925200,7.679,21.687,311.245,308.239,0.200,187.905
928800,6.860,21.693,312.295,309.071,0.200,188.636
932400,6.860,21.727,312.723,309.482,0.200,189.396
936000,6.860,21.745,312.878,309.632,0.200,190.163
939600,6.487,21.743,312.974,309.693,0.200,190.935
943200,6.060,21.742,313.394,310.004,0.200,191.755
946800,5.901,21.750,313.588,310.175,0.200,192.592
950400,5.779,21.754,313.796,310.346,0.200,193.449
954000,5.610,21.755,313.899,310.427,0.200,194.314
957600,5.310,21.750,314.092,310.567,0.200,195.200
961200,5.010,21.748,314.326,310.746,0.200,196.111
964800,4.710,21.748,314.573,310.938,0.200,197.049
968400,4.402,21.749,314.826,311.135,0.200,198.013
972000,4.156,21.751,315.072,311.331,0.200,199.004
975600,3.960,21.752,315.270,311.492,0.200,200.016
979200,3.708,21.751,315.492,311.667,0.200,201.320
982800,3.560,21.750,315.617,311.765,0.200,202.095
986400,3.276,21.760,315.853,311.951,0.200,203.616
990000,3.160,21.768,315.950,312.027,0.200,204.248
993600,3.026,21.795,316.107,312.159,0.200,205.351
997200,3.214,21.834,316.152,312.227,0.200,206.456
1000800,3.228,21.851,316.046,312.150,0.200,207.543
1004400,3.058,21.853,316.130,312.203,0.200,209.113
1008000,2.752,21.834,316.283,312.300,0.200,210.389
1011600,2.697,21.825,316.371,312.369,0.200,210.871
1015200,2.717,21.811,316.423,312.424,0.200,212.007
1018800,1.868,21.780,316.600,312.503,0.200,213.161
1022400,1.012,21.764,317.299,313.014,0.200,214.411
1026000,0.549,21.770,317.746,313.381,0.200,215.714
1029600,0.102,21.773,318.186,313.730,0.200,217.069
1033200,-0.357,21.774,318.515,313.990,0.200,218.464
1036800,-0.658,21.775,318.896,314.293,0.200,219.910
1040400,-0.316,21.785,318.980,314.409,0.200,221.363
1044000,-0.138,21.776,318.838,314.307,0.200,222.790
